2498,70,2568,0.0038870000000000003
2574,70,2644,0.004001
2650,70,2720,0.004115000000000001
2726,70,2796,0.004229
3629,95,3724,0.0056335000000000005
4632,536,5168,0.0412475
4621,455,5076,0.040907
2553,65,2618,0.0039594999999999995
4370,258,4628,0.007071
3403,171,3574,0.0054465
2774,70,2844,0.004300999999999999
2975,84,3059,0.0046305
5275,504,5779,0.044461
3625,210,3835,0.0058575
3593,386,3979,0.019730499999999998
3639,203,3842,0.0058645
3534,71,3605,0.005443
3020,189,3209,0.004908
3788,558,4346,0.0228205
3021,123,3144,0.0047775
4642,321,4963,0.043384
4017,513,4530,0.0227965
2494,70,2564,0.003881
2566,70,2636,0.003989
3485,142,3627,0.0055115
3021,123,3144,0.0047775
3685,167,3852,0.0058615
2500,70,2570,0.0038900000000000002
3021,104,3125,0.0047395
3647,160,3807,0.0057905000000000005
4005,433,4438,0.0240975
3379,374,3753,0.0058165000000000005
4229,162,4391,0.0066675
3296,70,3366,0.005084
4513,183,4696,0.0071354999999999995
3298,70,3368,0.0050869999999999995
4373,483,4856,0.0251205
3515,45,3560,0.005362500000000001
4155,141,4296,0.0065145
4155,141,4296,0.0065145
5443,119,5562,0.0084025
5465,117,5582,0.0084315
5465,117,5582,0.0084315
5212,154,5366,0.008126000000000001
5207,118,5325,0.0080465
5462,116,5578,0.008425
5462,116,5578,0.008425
3466,144,3610,0.0054870000000000006
4383,172,4555,0.0069185
5448,143,5591,0.008458
